season_start,team,player,player_key,position,minutes,goals,assists,market_value_eur,importance
2012,Arsenal,Santi Cazorla,santi cazorla,Midfield,3307,12,12,25000000.0,0.981
2012,Arsenal,Per Mertesacker,per mertesacker,Defender,3028,3,0,16000000.0,0.873
2012,Arsenal,Theo Walcott,theo walcott,Attack,2285,14,12,25000000.0,0.858
2012,Arsenal,Lukas Podolski,lukas podolski,Attack,1998,11,10,23000000.0,0.809
2012,Arsenal,Mikel Arteta,mikel arteta,Midfield,2985,6,4,11000000.0,0.806
2012,Arsenal,Jack Wilshere,jack wilshere,Midfield,1697,0,5,28000000.0,0.805
2012,Arsenal,Thomas Vermaelen,thomas vermaelen,Defender,2237,0,0,18000000.0,0.797
2012,Arsenal,Olivier Giroud,olivier giroud,Attack,2327,11,5,15000000.0,0.778
2012,Arsenal,Wojciech Szczesny,wojciech szczesny,Goalkeeper,2250,0,0,15000000.0,0.769
2012,Arsenal,Bacary Sagna,bacary sagna,Defender,2240,0,0,14500000.0,0.762
2012,Arsenal,Laurent Koscielny,laurent koscielny,Defender,1674,2,1,15000000.0,0.699
2012,Arsenal,Aaron Ramsey,aaron ramsey,Midfield,2086,1,4,10000000.0,0.682
2012,Arsenal,Kieran Gibbs,kieran gibbs,Defender,2102,0,5,8000000.0,0.647
2012,Arsenal,Alex Oxlade-Chamberlain,alex oxlade chamberlain,Midfield,1062,1,5,15000000.0,0.625
2012,Arsenal,Gervinho,gervinho,Attack,1016,5,3,10500000.0,0.56
2012,Arsenal,Carl Jenkinson,carl jenkinson,Defender,1188,0,0,4500000.0,0.441
2012,Arsenal,Andrey Arshavin,andrey arshavin,Attack,80,0,1,9000000.0,0.422
2012,Arsenal,Abou Diaby,abou diaby,Midfield,713,0,0,4000000.0,0.364
2012,Arsenal,André Santos,andre santos,Defender,395,0,0,4500000.0,0.345
2012,Arsenal,Francis Coquelin,francis coquelin,Midfield,226,0,0,4000000.0,0.305
2012,Arsenal,Tomas Rosicky,tomas rosicky,Midfield,612,2,1,2000000.0,0.237
2012,Arsenal,Lukasz Fabianski,lukasz fabianski,Goalkeeper,360,0,0,1500000.0,0.158
2012,Arsenal,Vito Mannone,vito mannone,Goalkeeper,810,0,0,750000.0,0.098
2012,Aston Villa,Christian Benteke,christian benteke,Attack,2821,19,4,12000000.0,0.928
2012,Aston Villa,Gabriel Agbonlahor,gabriel agbonlahor,Attack,2190,9,5,9000000.0,0.807
2012,Aston Villa,Matthew Lowton,matthew lowton,Defender,3267,2,3,3500000.0,0.797
2012,Aston Villa,Brad Guzan,brad guzan,Goalkeeper,3240,0,0,3500000.0,0.794
2012,Aston Villa,Ron Vlaar,ron vlaar,Defender,2391,2,0,6500000.0,0.783
2012,Aston Villa,Ciaran Clark,ciaran clark,Defender,2498,1,1,5000000.0,0.756
2012,Aston Villa,Darren Bent,darren bent,Attack,808,3,1,13500000.0,0.699
