league,season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,season_start,stat_type
ENG-Premier League,2018/19,Arsenal,Aaron Ramsey,WAL,MF,27,1990,14.8,0,0,0,21,20,5,16,7,20,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Ainsley Maitland-Niles,ENG,"MF,DF",20,1997,11.0,3,2,1,8,13,1,18,19,19,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Alex Iwobi,NGA,"MF,FW",22,1996,21.9,0,0,0,8,13,2,58,12,16,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Alexandre Lacazette,FRA,FW,27,1991,27.8,2,0,0,51,54,24,30,15,19,1,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Bernd Leno,GER,GK,26,1992,31.5,0,0,0,0,5,0,0,3,0,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Bukayo Saka,ENG,"FW,MF",16,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Carl Jenkinson,ENG,MF,26,1992,1.8,0,0,0,1,0,0,3,0,2,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Danny Welbeck,ENG,MF,27,1990,1.7,0,0,0,3,2,0,0,1,3,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Denis Suárez,ESP,MF,24,1994,0.8,0,0,0,0,1,1,0,1,1,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Eddie Nketiah,ENG,FW,19,1999,0.7,0,0,0,1,2,2,0,0,1,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Granit Xhaka,SUI,MF,25,1992,27.8,10,0,0,45,51,1,130,33,28,0,2,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Henrikh Mkhitaryan,ARM,"MF,FW",29,1989,18.2,1,0,0,27,11,3,63,17,22,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Héctor Bellerín,ESP,"DF,MF",23,1995,17.0,3,0,0,16,7,2,39,18,13,0,0,1,2018,misc
ENG-Premier League,2018/19,Arsenal,Joe Willock,ENG,MF,18,1999,0.7,0,0,0,0,2,0,0,1,0,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Konstantinos Mavropanos,GRE,DF,20,1997,1.6,1,0,0,2,0,0,0,5,1,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Laurent Koscielny,FRA,DF,32,1985,14.8,1,0,0,11,15,0,0,29,13,0,0,0,2018,misc
ENG-Premier League,2018/19,Arsenal,Lucas Torreira,URU,MF,22,1996,26.5,7,1,0,37,77,0,28,41,39,0,0,0,2018,misc
